Ensemble,Vortex ID,Num Voxels,Num Surface Voxels,Max Depth,Surface Aspect Ratio,Surface Avg Radius,Life Time,Start Time,Rotation,Start Center X,Start Center Y,End Center X,End Center Y,Travelled Distance,Surface Temperature,Avg Temperature,Min Temperature,Max Temperature,Surface Salinity,Avg Salinity,Min Salinity,Max Salinity,Extreme SLA,Min SLA,Max SLA
45,10,147,71,4,170.667,0.624784,0,0,CCW,0.422769,0.410986,0.422769,0.410986,0.589613,0,0,27.8434,27.8434,0,0,38.5714,38.5714,0.161835,0.154695,0.161835
45,11,1116,323,3,22.0581,0.122186,5,0,CW,0.443467,0.597165,0.443467,0.597165,0.74382,0,0,27.1314,28.5694,0,0,38.5899,39.3175,0.318697,0.197629,0.318697
45,12,317,48,8,122.744,0.436299,1,0,CCW,0.496567,0.501165,0.496567,0.501165,0.705511,0,0,0,29.4567,0,0,0,39.179,0.244238,0.212826,0.244238
45,13,462,124,6,21.1275,0.0681233,6,0,CW,0.421009,0.678786,0.421009,0.678786,0.798749,0,0,27.3616,27.7804,0,0,39.3337,39.381,0.313523,0.178738,0.313523
45,14,1334,186,16,10.5507,0.0292937,6,0,CCW,0.23905,0.814345,0.23905,0.814345,0.848706,0,0,23.0314,25.7204,0,0,39.71,40.2549,0.162279,0.011195,0.162279
45,15,135,19,8,98.1161,0.285962,0,0,CW,0.237735,0.84816,0.237735,0.84816,0.880849,0,0,25.5019,25.7571,0,0,39.7621,39.9471,0.0596822,0.0535439,0.0596822
45,16,69,18,3,139.801,0.276718,0,0,CW,0.381901,0.71207,0.381901,0.71207,0.808017,0,0,25.9954,26.8004,0,0,39.3995,39.4594,0.16363,0.155185,0.16363
45,17,14989,590,36,7.38087,0.0154549,11,0,CCW,0.223596,0.87187,0.223596,0.87187,0.900085,0,0,21.5689,25.6239,0,0,39.8871,40.5987,0.170883,0.00863745,0.170883
45,18,1279,305,7,1708.5,0.21811,1,0,CW,0.266148,0.887613,0.266148,0.887613,0.926656,0,0,24.5524,26.3937,0,0,39.9587,40.2316,0.113239,0.0808563,0.113239
45,19,5,5,3,94.3115,0.194809,0,0,CCW,0.261448,0.895796,0.261448,0.895796,0.93317,1.15555e-40,1.15555e-40,0,25.4111,1.84387e-40,1.84387e-40,0,39.9929,0.0944059,0,0.0944059
45,20,10,10,3,104.229,0.193768,0,0,CCW,0.634453,0.239234,0.634453,0.239234,0.678059,0,0,27.0815,27.3122,0,0,36.1105,36.2383,0.216917,0.213108,0.216917
45,21,90,8,7,41.7127,0.0917352,2,0,CW,0.293522,0.84517,0.293522,0.84517,0.894689,0,0,25.2228,25.5796,0,0,39.7682,39.7866,0.116381,0.0956938,0.116381
45,22,51,19,4,136.914,0.172431,1,0,CCW,0.496061,0.496061,0.496061,0.496061,0.701536,0,0,29.0475,29.3428,0,0,38.9031,39.0501,0.24454,0.217838,0.24454
45,23,8,5,3,78.5066,0.161729,0,0,CCW,0.610061,0.361328,0.610061,0.361328,0.709036,1.67679e-40,0,28.929,29.1836,2.19627e-40,0,38.0418,38.1749,0.238249,0.237238,0.238249
45,24,50,11,3,612.437,0.13802,0,0,CW,0.367996,0.562031,0.367996,0.562031,0.671788,0,0,24.6584,26.3276,0,0,39.3332,40.7996,0.0873051,0.080961,0.0873051
45,25,12,0,2,64.7046,0.146842,0,0,CW,0.441834,0.62099,0.441834,0.62099,0.762132,0,0,27.6461,27.8523,0,0,39.2136,39.2646,0,0,0
45,26,4,4,3,83.444,0.140103,0,0,CW,0.467763,0.537711,0.467763,0.537711,0.712696,8.62043e-35,8.62043e-35,28.3543,28.8373,1.17697e-34,1.17697e-34,39.0998,39.1211,0.236337,0.234669,0.236337
45,27,6,6,3,127.078,0.127201,0,0,CCW,0.363462,0.504423,0.363462,0.504423,0.621729,2.8026e-45,2.8026e-45,25.7412,25.84,5.60519e-45,5.60519e-45,39.4331,39.5279,0.0948433,0.0934978,0.0948433
45,28,365,149,3,528.99,0.0629572,2,0,CCW,0.616039,0.332176,0.616039,0.332176,0.699889,0,0,28.9222,29.6114,0,0,37.3963,38.2007,0.245906,0.217801,0.245906
45,29,1,1,3,179.926,0.125574,0,0,CW,0.461695,0.555597,0.461695,0.555597,0.722392,28.0513,28.0513,28.0513,28.0513,38.8875,38.8875,38.8875,38.8875,0.231701,0.231701,0.231701
45,30,39,7,3,212.041,0.123478,0,0,CCW,0.368223,0.519993,0.368223,0.519993,0.637166,0,0,25.0358,26.3121,0,0,39.1854,40.1528,0.0895765,0.0810546,0.0895765
45,31,4,4,3,63.1777,0.110581,0,0,CW,0.44198,0.623225,0.44198,0.623225,0.76404,8.36204e-35,8.36204e-35,27.6503,27.8526,1.18074e-34,1.18074e-34,39.2135,39.2642,0.199231,0.197639,0.199231
45,32,6,3,4,121.2,0.0798675,0,0,CCW,0.878696,0.138663,0.878696,0.138663,0.889569,1.87841e-27,2.8026e-45,26.5111,26.575,2.56952e-27,4.2039e-45,36.3008,36.3155,0.0454113,0.0450654,0.0454113
45,33,688,3,6,580.939,0.0612055,0,0,CCW,0.229001,0.923477,0.229001,0.923477,0.951447,1.72868e-27,0,0,26.0793,2.84715e-27,0,0,40.2529,0.0553753,0.0549506,0.0553753
45,34,18,3,5,60,0.0119064,0,0,CW,0.251238,0.895199,0.251238,0.895199,0.929786,1.83148e-27,0,25.8581,25.92,2.82431e-27,0,39.904,39.9128,0.110201,0.108924,0.110201
45,35,4,2,4,60,0.0110782,0,0,CW,0.568717,0.327855,0.568717,0.327855,0.656451,4.90244e-17,8.50436e-35,28.0915,28.4295,6.45255e-17,1.11934e-34,37.1026,37.29,0.246534,0.246447,0.246534
45,36,0,0,0,60,0.00629406,0,60,CCW,0,0,0.599676,0.379894,0.709881,0,0,0,0,0,0,0,0,0,0,0
45,37,0,0,0,60,0.00415647,0,60,CW,0,0,0.14792,0.951846,0.963271,0,0,0,0,0,0,0,0,0,0,0
45,38,1365,546,5,41.2465,0.289874,3,1,CCW,0.586539,0.380595,0.586539,0.380595,0.6992,0,0,28.8796,29.8577,0,0,37.7985,38.9756,0.300662,0.204978,0.300662
45,39,339,108,5,201.493,0.738505,0,1,CCW,0.323433,0.681269,0.323433,0.681269,0.754147,0,0,25.8333,26.5677,0,0,39.3237,39.8798,0.0599365,0.0398753,0.0599365
45,40,538,194,6,50.3936,0.36677,2,1,CCW,0.545247,0.251577,0.545247,0.251577,0.600488,0,0,26.7732,27.5255,0,0,36.601,37.1902,0.195168,0.172468,0.195168
45,41,909,174,7,28.0362,0.0806197,6,1,CW,0.296506,0.835597,0.296506,0.835597,0.886644,0,0,25.1303,26.4091,0,0,39.7549,39.8144,0.236776,0.0912394,0.236776
45,42,78,55,3,82.3161,0.406042,1,1,CCW,0.373497,0.52274,0.373497,0.52274,0.642462,0,0,25.7088,27.0208,0,0,39.4569,39.9689,0.0817911,0.0698162,0.0817911
45,43,75,18,4,82.4281,0.329156,0,1,CCW,0.856545,0.0808574,0.856545,0.0808574,0.860353,0,0,25.4001,25.5204,0,0,35.9085,35.9966,0.147613,0.143335,0.147613
45,44,30,5,5,69.9643,0.159394,0,1,CW,0.438187,0.638626,0.438187,0.638626,0.774501,8.03514e-40,0,27.8297,27.9113,1.12852e-39,0,39.1464,39.1625,0.190661,0.189354,0.190661
45,45,48,5,6,61.4248,0.218001,0,1,CW,0.298525,0.828526,0.298525,0.828526,0.880666,7.4782e-40,0,25.0234,26.194,1.14708e-39,0,39.7329,39.8095,0.100174,0.0937758,0.100174
45,46,12,12,3,115.262,0.209932,0,1,CCW,0.628356,0.272858,0.628356,0.272858,0.685042,0,0,27.5692,27.9008,0,0,36.3225,36.5283,0.214475,0.212812,0.214475
45,47,617,393,7,379.288,0.0372549,4,1,CW,0.20224,0.835943,0.20224,0.835943,0.860059,0,0,24.4743,25.1448,0,0,40.0026,40.1393,0.171424,0.0475694,0.171424
45,48,10,5,3,61.0987,0.126976,0,1,CW,0.506217,0.471735,0.506217,0.471735,0.691946,8.38189e-40,0,28.8691,29.3545,1.10582e-39,0,38.2804,38.4653,0.247204,0.24554,0.247204
45,49,172,24,4,534.618,0.124986,0,1,CW,0.804659,0.0417204,0.804659,0.0417204,0.80574,0,0,25.7315,26.397,0,0,35.6535,35.7958,0.201222,0.194564,0.201222
45,50,1,1,3,61.033,0.0915022,0,1,CW,0.677833,0.0767591,0.677833,0.0767591,0.682166,27.4469,27.4469,27.4469,27.4469,36.0182,36.0182,36.0182,36.0182,0.219441,0.219441,0.219441
45,51,4,2,3,65.6733,0.0904107,0,1,CW,0.679151,0.0807342,0.679151,0.0807342,0.683933,9.52727e-17,3.30536e-34,27.4428,27.4769,1.24898e-16,4.33329e-34,35.9942,36.005,0.21976,0.219663,0.21976
45,52,3,3,3,122.858,0.0798068,0,1,CCW,0.54983,0.249829,0.54983,0.249829,0.603927,5.71349e-27,5.71349e-27,26.888,26.932,7.83465e-27,7.83465e-27,36.8295,36.9732,0.181678,0.179789,0.181678
45,53,62,22,6,1676.03,0.0191721,2,1,CW,0.242732,0.97533,0.242732,0.97533,1.00508,0,0,0,24.4663,0,0,0,40.3667,0.0732877,0,0.0732877
45,54,2,2,3,60,0.0228352,0,1,CCW,0.627764,0.304774,0.627764,0.304774,0.697836,9.977e-17,9.977e-17,28.6234,28.89,1.27839e-16,1.27839e-16,36.8132,36.881,0.219743,0.218826,0.219743
45,55,1,1,3,60,0.0213309,0,1,CCW,0.583494,0.390818,0.583494,0.390818,0.702284,29.3573,29.3573,29.3573,29.3573,38.8108,38.8108,38.8108,38.8108,0.207254,0.207254,0.207254
45,56,9868,2876,7,481.984,5.08906,1,2,CW,0.56881,0.335684,0.56881,0.335684,0.660476,0,0,28.7324,29.8726,0,0,37.5019,38.8986,0.262753,0.21993,0.262753
45,57,26959,1125,15,40.7585,0.926765,3,2,CCW,0.389721,0.596565,0.389721,0.596565,0.712582,0,0,23.1453,29.4534,0,0,37.8808,40.5114,0.178876,0.0479761,0.178876
45,58,607,312,4,353.782,0.890897,2,2,CW,0.55884,0.33417,0.55884,0.33417,0.651131,0,0,27.6618,29.2218,0,0,36.9654,37.799,0.315996,0.212947,0.315996
45,59,7629,1411,10,49.8666,0.545697,3,2,CW,0.526824,0.425421,0.526824,0.425421,0.677146,0,0,28.7031,29.8369,0,0,37.5103,38.8094,0.356066,0.23883,0.356066
45,60,26903,3192,15,29.3035,0.25479,6,2,CCW,0.378453,0.613469,0.378453,0.613469,0.720813,0,0,25.2394,27.9939,0,0,39.7778,40.6527,0.209216,0.166748,0.209216
45,61,880,213,5,131.474,1.03141,1,2,CCW,0.608124,0.309056,0.608124,0.309056,0.682151,0,0,28.2186,29.1887,0,0,37.2113,38.2375,0.249897,0.209166,0.249897
45,62,4693,110,36,161.934,0.768767,0,2,CCW,0.229727,0.863104,0.229727,0.863104,0.893153,0,0,21.5682,25.5423,0,0,39.8543,40.5982,0.0461792,0.0203283,0.0461792
45,63,458,98,4,120.603,0.668061,0,2,CW,0.540805,0.362113,0.540805,0.362113,0.650843,0,0,27.7859,29.1123,0,0,37.0067,37.7259,0.245747,0.230448,0.245747
45,64,78,18,3,77.5616,0.290265,0,2,CW,0.289306,0.695999,0.289306,0.695999,0.753732,0,0,24.2352,25.4036,0,0,39.9406,40.242,0.0676664,0.0543598,0.0676664
45,65,22,4,3,87.8803,0.157344,0,2,CCW,0.599809,0.31427,0.599809,0.31427,0.677153,1.38274e-33,0,28.4712,28.8549,1.80739e-33,0,37.3269,37.8082,0.211413,0.211,0.211413
45,66,83,12,5,228.155,0.222146,0,2,CCW,0.41033,0.551728,0.41033,0.551728,0.687586,0,0,26.7125,27.2959,0,0,39.0872,39.8661,0.093524,0.0807832,0.093524
45,67,24,6,5,167.352,0.144882,0,2,CW,0.606042,0.257057,0.606042,0.257057,0.658305,1.1911e-43,0,26.9314,27.1466,1.62551e-43,0,36.6141,36.7126,0.213304,0.212322,0.213304
45,68,48,5,9,62.9288,0.136041,0,2,CCW,0.74078,0.0730416,0.74078,0.0730416,0.744372,3.92803e-39,0,27.2319,27.2854,5.21476e-39,0,36.1692,36.213,0.135597,0.134016,0.135597
45,69,3,3,3,60,0.0114164,0,2,CW,0.610284,0.349909,0.610284,0.349909,0.703479,1.85662e-26,1.85662e-26,29.1366,29.1703,2.42328e-26,2.42328e-26,38.039,38.0543,0.219142,0.218693,0.219142
45,70,698,102,7,14.2875,0.0788196,5,3,CW,0.617425,0.226502,0.617425,0.226502,0.65766,0,0,26.6705,27.4479,0,0,36.4792,36.861,0.317825,0.243854,0.317825
45,71,159,20,9,110.202,0.292322,0,3,CCW,0.831255,0.0433689,0.831255,0.0433689,0.832386,0,0,25.1357,25.6634,0,0,35.6492,35.7486,0.203938,0.197283,0.203938
45,72,3,3,3,63.9773,0.0954883,0,3,CW,0.462308,0.548245,0.462308,0.548245,0.717148,5.36121e-26,5.36121e-26,27.9384,28.2139,7.44517e-26,7.44517e-26,38.945,38.98,0.254174,0.253254,0.254174
45,73,132,48,4,1689.05,0.0753362,0,3,CCW,0.361275,0.567152,0.361275,0.567152,0.672444,0,0,26.1427,26.4229,0,0,40.2901,40.8385,0.117608,0.0976046,0.117608
45,74,78,69,4,79.742,0.459201,1,4,CW,0.329446,0.631144,0.329446,0.631144,0.711954,0,0,24.9355,26.433,0,0,39.7313,40.3286,0.194809,0.154278,0.194809
45,75,839,161,5,39.7064,0.147496,3,4,CW,0.435829,0.647076,0.435829,0.647076,0.780163,0,0,27.239,28.0599,0,0,39.0478,39.2743,0.323542,0.276103,0.323542
45,76,10,9,3,149.459,0.18143,0,4,CW,0.433144,0.665805,0.433144,0.665805,0.794299,0,0,26.4458,27.6516,0,0,39.1753,39.4151,0.27576,0.271683,0.27576
45,77,6,1,3,80.5609,0.129982,0,4,CCW,0.571305,0.333193,0.571305,0.333193,0.661368,28.5768,4.5332e-42,28.4056,28.5768,37.4138,5.94431e-42,37.3095,37.4138,0.292473,0.292473,0.292473
45,78,1,1,3,62.8301,0.128168,0,4,CCW,0.569785,0.335278,0.569785,0.335278,0.66111,28.4939,28.4939,28.4939,28.4939,37.3587,37.3587,37.3587,37.3587,0.292269,0.292269,0.292269
45,79,309,140,5,4447.44,0.0764363,0,4,CCW,0.589325,0.311471,0.589325,0.311471,0.666572,0,0,28.2086,29.0796,0,0,37.2178,37.9703,0.304802,0,0.304802
45,80,922255,24888,42,1.67611,0.0267982,54,5,CW,0.811256,0.145953,0.811256,0.145953,0.824281,0.659512,0.49953,7.08441,26.8209,0.917074,0.89366,35.2954,36.4799,0.287546,0.0703729,0.287546
45,81,63,20,3,147.556,0.303093,0,5,CCW,0.858301,0.0816216,0.858301,0.0816216,0.862173,0,0,25.2475,25.4584,0,0,35.9408,35.9888,0.0959418,0.0940801,0.0959418
45,82,443,402,4,784.881,0.272082,1,5,CCW,0.495099,0.509354,0.495099,0.509354,0.710327,0,0,0,29.5678,0,0,0,39.3292,0.340134,0,0.340134
45,83,6,6,3,81.3471,0.164119,0,5,CCW,0.285408,0.75868,0.285408,0.75868,0.810588,2.36553e-41,2.36553e-41,24.7071,24.852,3.84096e-41,3.84096e-41,40.1985,40.2693,0.0799264,0.0761397,0.0799264
45,84,64,25,3,19.5683,0.0334826,4,5,CCW,0.478442,0.331512,0.478442,0.331512,0.582071,0,0,27.4365,28.0664,0,0,37.2817,37.7925,0.275704,0.263734,0.275704
45,85,126,57,3,1084.4,0.102995,1,5,CW,0.282931,0.704105,0.282931,0.704105,0.758824,0,0,24.3742,25.054,0,0,40.1609,40.3124,0.170306,0.168132,0.170306
45,86,62,58,3,1145.51,0.102594,0,5,CW,0.551625,0.421639,0.551625,0.421639,0.694312,0,0,28.5194,29.2928,0,0,37.9383,38.7522,0.337457,0.330779,0.337457
45,87,13,13,3,1095.49,0.0817935,0,5,CW,0.523861,0.472038,0.523861,0.472038,0.70516,0,0,28.8895,29.246,0,0,38.2544,38.8326,0.334031,0.327226,0.334031
45,88,2,2,3,654.827,0.0611955,0,5,CW,0.354916,0.765798,0.354916,0.765798,0.844045,1.37173e-15,1.37173e-15,24.5275,24.8942,2.19506e-15,2.19506e-15,39.5376,39.5479,0.248212,0.245346,0.248212
45,89,15,6,3,3462.07,0.0439768,0,5,CW,0.779904,0.0377796,0.779904,0.0377796,0.780819,8.45263e-42,0,26.512,26.6674,1.14318e-41,0,35.9031,35.9898,0.146781,0.145427,0.146781
45,90,45,21,3,738.989,0.0174734,2,5,CW,0.463897,0.542922,0.463897,0.542922,0.714118,0,0,0,28.4669,0,0,0,39.1354,0.335293,0,0.335293
45,91,8,8,3,1915.6,0.0316286,0,5,CCW,0.520028,0.470197,0.520028,0.470197,0.701081,0,0,28.8949,29.1039,0,0,38.3508,38.8113,0.329957,0.327519,0.329957
45,92,0,0,0,205.782,0.00367982,0,60,CW,0,0,0.382037,0.437468,0.580802,0,0,0,0,0,0,0,0,0,0,0
45,93,2797,396,9,19.135,0.125631,6,6,CCW,0.85217,0.0770954,0.85217,0.0770954,0.85565,0,0,25.1131,25.5421,0,0,35.8162,36.0356,0.119146,0.0544814,0.119146
45,94,289,123,5,150.78,0.743862,0,6,CCW,0.384576,0.531476,0.384576,0.531476,0.656022,0,0,26.2478,27.2584,0,0,39.183,39.9998,0.218289,0.205862,0.218289
45,95,1029,64,7,69.5291,0.404952,1,6,CW,0.518486,0.417732,0.518486,0.417732,0.665828,0,0,28.7822,29.6704,0,0,37.6869,38.6095,0.376222,0.367477,0.376222
45,96,62,35,3,201.905,0.353201,0,6,CCW,0.317295,0.67226,0.317295,0.67226,0.743377,0,0,25.9057,26.3637,0,0,39.5903,39.8351,0.191953,0.184029,0.191953
45,97,27,5,5,68.7558,0.111013,0,6,CW,0.447611,0.570715,0.447611,0.570715,0.725308,2.53027e-36,0,28.0557,28.3105,3.4799e-36,0,38.5942,38.8389,0.329567,0.329187,0.329567
45,98,85,80,3,2342.63,0.0983736,0,6,CCW,0.546704,0.235633,0.546704,0.235633,0.595322,0,0,26.5559,26.882,0,0,36.7008,37.1206,0.249923,0.234837,0.249923
45,99,319,104,3,480.848,0.0977014,1,6,CW,0.363775,0.567744,0.363775,0.567744,0.674289,0,0,25.5344,26.2281,0,0,40.047,40.6098,0.197223,0.179835,0.197223
45,100,13,12,4,1447.08,0.0460119,1,6,CW,0.461231,0.55617,0.461231,0.55617,0.722537,0,0,28.3002,28.3002,0,0,38.7915,38.9612,0.323297,0,0.323297
45,101,0,0,0,241.653,0.00329522,0,60,CW,0,0,0.298965,0.847207,0.898409,0,0,0,0,0,0,0,0,0,0,0
45,102,1871,205,8,152.127,1.10377,0,7,CCW,0.872429,0.129411,0.872429,0.129411,0.881975,0,0,25.6986,26.6102,0,0,36.1043,36.3538,0.0570595,0.0286488,0.0570595
45,103,259,49,4,91.2114,0.459014,0,7,CW,0.651303,0.1909,0.651303,0.1909,0.678704,0,0,25.9264,26.3481,0,0,36.0328,36.0947,0.259151,0.232792,0.259151
45,104,148,18,3,94.9426,0.276778,1,7,CW,0.296035,0.688538,0.296035,0.688538,0.749481,0,0,24.8999,25.8882,0,0,39.8062,40.1178,0.188986,0.157788,0.188986
45,105,39,7,3,63.4096,0.20451,0,7,CW,0.673548,0.0787018,0.673548,0.0787018,0.678131,3.08286e-43,0,27.0559,27.3188,4.09179e-43,0,35.9875,36.1003,0.158527,0.155314,0.158527
45,106,19,4,3,121.847,0.196517,0,7,CW,0.63415,0.309032,0.63415,0.309032,0.705441,1.42485e-30,0,28.8408,28.9517,1.81922e-30,0,36.876,36.9484,0.375579,0.371966,0.375579
45,107,4,4,3,83.4554,0.15421,0,7,CW,0.635822,0.308284,0.635822,0.308284,0.706618,1.42427e-30,1.42427e-30,28.8639,28.9052,1.81878e-30,1.81878e-30,36.8759,36.901,0.374594,0.373224,0.374594
45,108,8,8,3,884.652,0.0347737,0,7,CW,0.461105,0.543848,0.461105,0.543848,0.713014,0,0,28.244,28.3795,0,0,38.4226,38.9444,0.334565,0.330117,0.334565
45,109,5378,649,6,109.308,0.948998,2,8,CW,0.626689,0.213608,0.626689,0.213608,0.662093,0,0,26.3156,27.6924,0,0,36.2202,37.0329,0.306683,0.209089,0.306683
45,110,894,894,3,72.8301,0.395405,3,8,CCW,0.481558,0.310037,0.481558,0.310037,0.572731,0,0,27.1868,28.1231,0,0,37.0308,37.8602,0.264455,0.212292,0.264455
45,111,89,89,3,141.161,0.594484,0,8,CW,0.330945,0.626338,0.330945,0.626338,0.708395,0,0,25.4364,26.3226,0,0,39.7311,40.1821,0.184472,0.175304,0.184472
45,112,1203,250,9,24.8988,0.0748175,5,8,CW,0.35645,0.728962,0.35645,0.728962,0.811445,0,0,25.7991,26.7703,0,0,39.4562,39.5481,0.252664,0.158565,0.252664
45,113,54,32,3,108.704,0.382125,1,8,CW,0.677312,0.0763373,0.677312,0.0763373,0.681601,0,0,26.8583,27.1252,0,0,35.9587,36.0623,0.166649,0.146088,0.166649
45,114,37,37,3,131.265,0.373599,0,8,CCW,0.480385,0.295164,0.480385,0.295164,0.563819,0,0,27.6414,28.0202,0,0,37.304,37.6934,0.258345,0.255277,0.258345
45,115,10,10,3,122.558,0.2016,0,8,CCW,0.463516,0.450432,0.463516,0.450432,0.646325,0,0,28.6507,29.2714,0,0,38.5546,38.8729,0.321911,0.31927,0.321911
45,116,15,5,5,82.5813,0.144371,0,8,CCW,0.739791,0.0759977,0.739791,0.0759977,0.743684,6.10185e-35,0,27.0767,27.1242,8.1512e-35,0,36.1815,36.2245,0.0317172,0.0312848,0.0317172
45,117,34,3,4,96.1973,0.0985688,0,8,CW,0.439715,0.615372,0.439715,0.615372,0.756328,1.29489e-23,0,27.8584,28.0814,1.79787e-23,0,38.7022,38.8466,0.30151,0.301093,0.30151
45,118,6,3,3,114.881,0.0806374,0,8,CW,0.613357,0.229136,0.613357,0.229136,0.654759,1.24141e-23,5.51296e-39,26.7114,26.7627,1.70299e-23,7.56281e-39,36.6578,36.6957,0.292484,0.28906,0.292484
45,119,4,4,3,529.037,0.0564408,0,8,CW,0.702756,0.115891,0.702756,0.115891,0.712248,5.17361e-30,5.17361e-30,26.1547,26.3633,7.07196e-30,7.07196e-30,35.8088,35.9326,0.13704,0.136158,0.13704
45,120,8,2,3,60,0.0244011,0,8,CW,0.204762,0.835747,0.204762,0.835747,0.860465,1.09449e-14,2.8026e-45,24.6094,24.6801,1.77842e-14,2.8026e-45,40.0433,40.0496,0.160165,0.159068,0.160165
45,121,4257,2175,6,117.264,1.18429,2,9,CW,0.62082,0.229292,0.62082,0.229292,0.66181,0,0,26.4381,28.0562,0,0,36.3056,37.3515,0.288018,0.192573,0.288018
45,122,12771,1114,10,25.6707,0.263898,6,9,CCW,0.509716,0.44586,0.509716,0.44586,0.677202,0,0,28.2287,29.6178,0,0,37.6548,38.8549,0.328876,0.272877,0.328876
45,123,28824,1002,21,57.7512,0.370089,4,9,CCW,0.372447,0.597021,0.372447,0.597021,0.703669,0,0,21.9789,27.7782,0,0,38.707,40.4524,0.166024,0.0995279,0.166024
45,124,303,123,3,140.832,1.07818,0,9,CCW,0.604313,0.328902,0.604313,0.328902,0.68802,0,0,28.7254,29.2011,0,0,37.6688,38.1541,0.3148,0.310538,0.3148
45,125,1836,425,3,28.9747,0.244794,3,9,CCW,0.382996,0.531361,0.382996,0.531361,0.655004,0,0,25.3802,27.3268,0,0,38.1626,39.7573,0.164992,0.117275,0.164992
45,126,78,78,3,122.374,0.702963,0,9,CCW,0.377911,0.612824,0.377911,0.612824,0.719979,0,0,26.1529,26.3742,0,0,39.2659,39.8973,0.136331,0.124113,0.136331
45,127,51,51,3,76.3381,0.472486,0,9,CCW,0.544896,0.414706,0.544896,0.414706,0.684758,0,0,28.7525,29.2509,0,0,37.7158,38.2195,0.314515,0.308113,0.314515
45,128,146,64,4,115.833,0.521325,0,9,CW,0.532839,0.3666,0.532839,0.3666,0.646771,0,0,27.856,28.2864,0,0,37.1983,37.4055,0.319868,0.311284,0.319868
45,129,290,36,7,106.609,0.439174,0,9,CCW,0.498008,0.501334,0.498008,0.501334,0.706645,0,0,28.6582,29.3016,0,0,38.8263,39.0668,0.282337,0.272619,0.282337
45,130,321,123,3,37.8832,0.115326,4,9,CW,0.291417,0.849447,0.291417,0.849447,0.898044,0,0,24.6738,25.854,0,0,39.7846,39.8613,0.167526,0.118863,0.167526
45,131,7,3,3,67.4457,0.174202,0,9,CW,0.682173,0.0733115,0.682173,0.0733115,0.686101,3.74723e-23,1.49617e-41,26.8765,26.9421,5.01014e-23,2.00007e-41,35.9669,35.9801,0.166069,0.165957,0.166069
45,132,25,13,4,172.803,0.178728,0,9,CCW,0.138019,0.964495,0.138019,0.964495,0.97432,0,0,20.196,20.4522,0,0,41.8567,42.1036,0.0544486,0.0503309,0.0544486
45,133,41,41,3,505.686,0.138432,0,9,CW,0.589458,0.370127,0.589458,0.370127,0.696028,0,0,28.7501,29.2552,0,0,37.8025,38.388,0.315665,0.312234,0.315665
45,134,36,9,3,130.49,0.116761,0,9,CW,0.233158,0.897376,0.233158,0.897376,0.927171,0,0,25.2786,25.5362,0,0,39.8409,39.8714,0.152657,0.148949,0.152657
45,135,32,16,6,555.534,0.110211,0,9,CW,0.587284,0.325383,0.587284,0.325383,0.671399,0,0,28.305,28.5627,0,0,37.4123,37.8886,0.300787,0.298379,0.300787
